,Unique_Reference_Number,Newspaper,Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Archive,Unnamed: 0,'File' Attachments,Notes,Place Published,Location,Record Number,Reference Type,Short Title,Title,Year,Reference Type.1,Edition,Issue,Reporter,County,Event Date
456,,Turner County Herald,1891-04-02,,,,,,,,,,,,,Chronicling America,456.0,"internal-pdf://4191799394/Turner County Herald, April 02, 1891.pdf",Also mentioned April 09.,,"Hurley, South Dakota",5989.0, Newspaper Article,,,"April 03, 1891",,,,,,
450,,The State Rights Democrat,1891-04-03,,,,,,,,,,,,,Chronicling America,450.0,"internal-pdf://3289099768/The State Rights Democrat, April 03, 1891.pdf",Menu included. Mentioned in two places in the newspaper issue.,WCTU Hall,"Albany, Oregon",5947.0, Newspaper Article,Epworth League of the M. E. Church,Epworth League of the M. E. Church,"April 04, 1891",,,,,,
186,,The Hope pioneer,1891-04-10,,,,,,,,,,,,,Chronicling America,186.0,"internal-pdf://1088590930/The Hope pioneer, April 10, 1891.pdf",,Devils Lake Inter-Ocean,"Hope, North Dakota",6410.0, Newspaper Article,Ladies’ Aid society of the Congregational church,Ladies’ Aid society of the Congregational church,,,,,,,
276,,Omaha daily bee,1891-04-11,,,,,,,,,,,,,Chronicling America,276.0,"internal-pdf://3260985860/Omaha daily bee, April 11, 1891.pdf",,M.E. church,"Osceola, Nebraska",6303.0, Newspaper Article,Epworth league,Epworth league,"April 08, 1891",,,,,,
234,,Morning appeal,1891-04-17,,,,,,,,,,,,,Chronicling America,234.0,"internal-pdf://2648102641/Morning appeal, April 17, 1891.pdf","Same event is referenced in the issues from April 16, April 18, April 19, and April 21",Odd Fellow’s hall,"Carson City, Nevada",6313.0, Newspaper Article,Young People’s Endeavor society of the Presbyterian church,Young People’s Endeavor society of the Presbyterian church,"April 21, 1891",,,,,,
437,,St. Paul daily globe,1891-04-19,,,,,,,,,,,,,Chronicling America,437.0,"internal-pdf://1307565981/St. Paul daily globe, April 19, 1891.pdf",,Congregational chapel,"St. Anthony Park, Minnesota",6270.0, Newspaper Article,Mrs. Passage,Mrs. Passage,"April 24, 1891",,,,,,
33,,The Helena Independent,1891-04-19,,,,,,,,,,,,,Chronicling America,33.0,"internal-pdf://0349517441/The Helena Independent, April 19, 1891.pdf",,,"Helena, Montana",6519.0, Newspaper Article,,,,,,,,,
13,,Pierre weekly free press,1891-04-23,,,,,,,,,,,,,Chronicling America,13.0,"internal-pdf://2260289371/Pierre weekly free press, April 23, 1891.pdf",,Baptist church,"Pierre, South Dakota",6713.0, Newspaper Article,,,"April 22, 1891",,,,,,
162,,The Helena independent,1891-04-26,,,,,,,,,,,,,Chronicling America,162.0,"internal-pdf://2577737059/The Helena independent, April 26, 1891.pdf",,,"Helena, Montana",6296.0, Newspaper Article,Organ fund of St. Peter’s parish,Organ fund of St. Peter’s parish,,,,,,,
124,,The Entreprise,1891-04-29,,,,,,,,,,,,,Chronicling America,124.0,"internal-pdf://0719885381/The Entreprise, April 29, 1891.pdf",,Basement of the church,"Columbus, Ohio",5932.0, Newspaper Article,Ladies of the Baptist Aid Society,Ladies of the Baptist Aid Society,"April 24, 1891",,,,,,
206,R_265,The Dansville Express,1891-04-30,"April 30, 1891",U.S.,NY,Dansville,The Ladies of the Presbyterian church,Residence of Mrs. F. G. Hall,Mrs. F. G. Hall,,,,n,"(1) Interestingly this early CS says ""for the usual price"" and (2) also references a simultaeneous 'cobweb social' like other CS references",,,,,,"Dansville, NY, U.S.",,,,,,,,,,,
150,,Los Angeles herald,1891-05-02,,,,,,,,,,,,,Chronicling America,150.0,"internal-pdf://0628175003/Los Angeles herald, May 02, 1891.pdf",,Church parlors,"Pasadena, California",6452.0, Newspaper Article,Young People of the Congregational church,Young People of the Congregational church,"May 01, 1891",,,,,,
441,,St. Paul daily globe,1891-05-10,,,,,,,,,,,,,Chronicling America,441.0,"internal-pdf://2379086067/St. Paul daily globe, May 10, 1891.pdf",,,"St. Pail, Minnesota",6271.0, Newspaper Article,Epworth league of the Lester Park M.E. church,Epworth league of the Lester Park M.E. church,"May 19, 1891",,,,,,
