,Unique_Reference_Number,Newspaper,Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Archive,Unnamed: 0,'File' Attachments,Notes,Place Published,Location,Record Number,Reference Type,Short Title,Title,Year,Reference Type.1,Edition,Issue,Reporter,County,Event Date
157,,The Guthrie Daily Leader,1894-04-28,,,,,,,,,,,,,Chronicling America,157.0,"internal-pdf://2953234490/The Guthrie Daily Leader, April 28, 1894.pdf","Mention in 2 other issues, April 26, 27",Presbyterian Church,"Guthrie, Oklahoma",5946.0, Newspaper Article,Ladies of the Presbyterian Church,Ladies of the Presbyterian Church,"April 27, 1894",,,,,,
153,,Evening star,1894-05-03,,,,,,,,,,,,,Chronicling America,153.0,"internal-pdf://2044897753/Evening star, May 03, 1894.pdf",Same event is referenced in the issue from May 9,Residence of Mr. L. Groh,"Herndon, Washington D.C.",6525.0, Newspaper Article,Young People’s society of Christian Endeavor,Young People’s society of Christian Endeavor,"May 04, 1894",,,,,,
183,,Vermont phoenix,1894-05-11,,,,,,,,,,,,,Chronicling America,183.0,"internal-pdf://4259739410/Vermont phœnix, May 11, 1894.pdf",“Miss Adelia Scott took the prize of a conundrum social in Boston recently”,,"Boston, Massachusetts",6776.0, Newspaper Article,,,,,,,,,
29,R_48,The Sherbrooke Examiner,1894-05-18,"May 17, 1894",Canada,Quebec,Sherbrooke,,,,,,,n,,BAnQ,,,,,"Sherbrooke, Quebec, Canada",,,,,,,,,,,
239,,Morning journal and courier,1894-05-21,,,,,,,,,,,,,Chronicling America,239.0,"internal-pdf://1687926647/Morning journal and courier, May 21, 1894.pdf",Contains eBOF; Same event as one referenced in May 12th issue,Memorial hall,"Noth Haven, Connecticut",6030.0, Newspaper Article,King’s Daughters of St. John’s parish,King’s Daughters of St. John’s parish,"May 18, 1894",,,,,,
94,,The Worthington advance,1894-06-07,,,,,,,,,,,,,Chronicling America,94.0,"internal-pdf://0349517440/The Worthington advance, June 07, 1894.pdf",,Rooms over Day and Nichols store,"Worthington, Minnesota",6598.0, Newspaper Article,Y.P.S.C.E. of the Presbyterian church,Y.P.S.C.E. of the Presbyterian church,"June 01, 1894",,,,,,
102,,The morning call,1894-06-18,,,,,,,,,,,,,Chronicling America,102.0,"internal-pdf://4059243595/The morning call, June 18, 1894.pdf",,,"San Francisco, California",6456.0, Newspaper Article,Columbian Temple,Columbian Temple,"June 22, 1894",,,,,,
101,,Washington standard,1894-06-22,,,,,,,,,,,,,Chronicling America,101.0,"internal-pdf://3172685997/Washington standard, June 22, 1894.pdf",,Residence of Gen. O’Brien,"Olympia, Washington",6814.0, Newspaper Article,,,"June 19, 1894",,,,,,
394,,The Scranton Tribune,1894-07-26,,,,,,,,,,,,,Chronicling America,394.0,"internal-pdf://2778691652/The Scranton Tribune, July 26, 1894.pdf",,Home of Mrs. W. S. Bloes,"Scranton, Pennsylvania",5973.0, Newspaper Article,Young People’s Society of the Presbyterian Church,Young People’s Society of the Presbyterian Church,"July 23, 1894",,,,,,
17,,Vermont phoenix,1894-08-03,,,,,,,,,,,,,Chronicling America,17.0,"internal-pdf://0680466996/Vermont phœnix, August 03, 1894.pdf",,Town hall,"Townshend, Vermont",6779.0, Newspaper Article,Woman’s Relief corps,Woman’s Relief corps,"August 08, 1894",,,,,,
20,,Bellows Falls times,1894-08-16,,,,,,,,,,,,,Chronicling America,20.0,"internal-pdf://3620197421/Bellows Falls times, August 16, 1894.pdf",,,"Bellows Falls, Vermont",6798.0, Newspaper Article,,,"August 15, 1894",,,,,,
265,,The Newtown bee,1894-08-31,,,,,,,,,,,,,Chronicling America,265.0,"internal-pdf://2260289375/The Newtown bee, August 31, 1894.pdf",Contains eBOF,,"Newtown, Connecticut",6038.0, Newspaper Article,Ladies of the Congregational church,Ladies of the Congregational church,"September 07, 1894",,,,,,
241,,The Portland daily press,1894-09-20,,,,,,,,,,,,,Chronicling America,241.0,"internal-pdf://0111537756/The Portland daily press, September 20, 1894.pdf",,Vestry,"Portland, Maine",6562.0, Newspaper Article,Misses Lillie and Josephine Hodsdon,Misses Lillie and Josephine Hodsdon,"September 21, 1894",,,,,,
52,R_111,Commercial Advertiser,1894-10-03,"September 29, 1894",U.S.,NY,Potsdam Junction,I.O.G.T.,Hall of Hope Lodge,,,10$ USD,,n,,,,,,,"Potsdam Junction, NY, U.S.",,,,,,,,,,,
220,,St. Johnsbury Caledonian,1894-10-11,,,,,,,,,,,,,Chronicling America,220.0,"internal-pdf://0552473416/St. Johnsbury Caledonian, October 11, 1894.pdf",,Methodist vestry,"St. Johnsbury, Vermont",6791.0, Newspaper Article,Epworth league,Epworth league,"October 19, 1894",,,,,,
219,,St. Johnsbury Caledonian,1894-10-11,,,,,,,,,,,,,Chronicling America,219.0,"internal-pdf://2646261503/St. Johnsbury Caledonian, October 11, 1894.pdf",,Methodist Vestry,"St. Johnsbury, Vermont",6758.0, Newspaper Article,Epworth League,Epworth League,"October 19, 1894",,,,,,
228,,Omaha daily bee,1894-10-21,,,,,,,,,,,,,Chronicling America,228.0,"internal-pdf://1486222838/Omaha daily bee, October 21, 1894.pdf",Same event is referenced in the issue from October 31,Independent Order of Odd Fellows hall,"Omaha, Nebraska",6621.0, Newspaper Article,Ladies of the Rebekah Relief association,Ladies of the Rebekah Relief association,"October 30, 1894",,,,,,
46,,Bennington Semi-Weekly Banner,1894-10-30,,,,,,,,,,,,,Chronicling America,46.0,"internal-pdf://3260985861/Semi-Weekly Banner, October 30, 1894.pdf",,Moore’s Hall,"Bennington, Vermont",6120.0, Newspaper Article,Congregational Ladies’ Aid Society,Congregational Ladies’ Aid Society,"October 30, 1894",,,,,,
186,,Abilene weekly reflector,1894-11-01,,,,,,,,,,,,,Chronicling America,186.0,"internal-pdf://1687926643/Abilene weekly reflector, November 01, 1894.pdf",,"Residence of Miss Wilson, corner of South Second and Buckeye","Abilene, Kansas",6549.0, Newspaper Article,Christian Endeavor society,Christian Endeavor society,"November 01, 1894",,,,,,
34,R_70,Montreal Gazette,1894-11-03,,Canada,Quebec,Montreal,Ladies' Aid Society,St. James Methodist Church,,,,,,,BAnQ,,,,,"Montreal, Quebec, Canada",,,,,,,,,,,
248,R_307,The Medina Tribune,1894-11-08,"November 02, 1894",U.S.,NY,Medina,The Young Ladies of the Choir,Presbyterian Church,,,,,y,,,,,,,"Medina, NY, U.S.",,,,,,,,,,,
188,,Marshall County independent,1894-11-09,,,,,,,,,,,,,Chronicling America,188.0,"internal-pdf://3289099763/Marshall County independent, November 09, 1894.pdf",,Residence of Jennie L. Bottorff,"Plymouth, Indiana",6539.0, Newspaper Article,Endeavor society of the Reformed church,Endeavor society of the Reformed church,"November 09, 1894",,,,,,
191,,The herald,1894-11-11,,,,,,,,,,,,,Chronicling America,191.0,"internal-pdf://1129566404/The herald, November 11, 1894.pdf",,Presbyterian church,"Colton, California",6455.0, Newspaper Article,Y.P.S. of Christian Endeavor,Y.P.S. of Christian Endeavor,"November 10, 1894",,,,,,
249,R_308,The Medina Tribune,1894-11-15,"November 02, 1894",U.S.,NY,Medina,The Young Ladies of the Choir,Presbyterian Church,,,,,y,Provides the answers to the eBOF provided in R_307,,,,,,"Medina, NY, U.S.",,,,,,,,,,,
29,R_88,Altamont Enterprise,1894-11-16,"November 16, 1894",U.S.,NY,Dormansville,The young ladies of this place,Gibbon's hall,,,,,n,,,,,,,"Dormansville, NY, U.S.",,,,,,,,,,,
68,,The Scranton Tribune,1894-11-16,,,,,,,,,,,,,Chronicling America,68.0,"internal-pdf://1498617643/The Scranton Tribune, November 16, 1894.pdf",,Church parlors,"Scranton, Pennsylvania",6638.0, Newspaper Article,The Ladies’ Aid Society of the Park Place Methodeist Episcopal Church,The Ladies’ Aid Society of the Park Place Methodeist Episcopal Church,,,,,,,"November 15, 1894"
171,R_230,The Coeymans Herald,1894-11-21,"November 16, 1894",U.S.,NY,Dormansville,,,,,~25$ USD,"""well attended""",n,,,,,,,"Dormansville, NY, U.S.",,,,,,,,,,,
337,,The Portland daily press,1894-12-08,,,,,,,,,,,,,Chronicling America,337.0,"internal-pdf://1376710090/The Portland daily press, December 08, 1894.pdf",,Vestry,"Limerick, Maine",6212.0, Newspaper Article,Ladies of the Congregational church,Ladies of the Congregational church,"December 05, 1894",,,,,,
286,,Orleans County Monitor,1894-12-10,,,,,,,,,,,,,Chronicling America,286.0,"internal-pdf://2040651428/Orleans County Monitor, December 10, 1894.pdf",,M.E. Church,"Barton, Vermont",6160.0, Newspaper Article,,,"December 13, 1894",,,,,,
254,,The Newtown bee,1894-12-14,,,,,,,,,,,,,Chronicling America,254.0,"internal-pdf://1713258265/The Newtown bee, December 14, 1894.pdf",,,"Southport, Connecticut",6039.0, Newspaper Article,King’s Daughters,King’s Daughters,"December 13, 1894",,,,,,
3,,The aegis & intelligencer,1894-12-21,,,,,,,,,,,,,Chronicling America,3.0,"internal-pdf://3244173415/The aegis & intelligencer, December 21, 1894.pdf",,"Residence of Joshua G. Lucky, Esq.","Shawsville, Maryland",6241.0, Newspaper Article,,,"December 24, 1894",,,,,,
36,,Omaha daily bee,1894-12-24,,,,,,,,,,,,,Chronicling America,36.0,"internal-pdf://1242608868/Omaha daily bee, December 24, 1894.pdf",,Methodist church,"Omaha, Nebraska",6622.0, Newspaper Article,,,"December 18, 1894",,,,,,
25,,Evening Star,1894-12-31,,,,,,,,,,,,,Chronicling America,25.0,"internal-pdf://3422857385/Evening Star, December 31, 1894.pdf",,,"Washington, D.C",6486.0, Newspaper Article,Mr and Mrs Norris,Mr and Mrs Norris,,,,,,,"December 27, 1894"
365,,The Republican journal,1895-01-03,,,,,,,,,,,,,Chronicling America,365.0,"internal-pdf://2474738227/The Republican journal, January 03, 1895.pdf",,,"Belfast, Maine",6219.0, Newspaper Article,Epworth league,Epworth league,"April XX, 1895",,,,,,
76,,Pullman herald,1895-01-05,,,,,,,,,,,,,Chronicling America,76.0,"internal-pdf://0304089159/Pullman herald, January 05, 1895.pdf","Same event is referenced twice in the same issue and in the issue from January 12, 1895",Congregational church,"Pullman, Washington",6816.0, Newspaper Article,Golden Rule society,Golden Rule society,"January 12, 1895",,,,,,
56,,The Republican Journal,1895-01-24,,,,,,,,,,,,,Chronicling America,56.0,"internal-pdf://3244173414/The Republican Journal, January 24, 1895.pdf",,,"Belfast, Maine",6499.0, Newspaper Article,The Relief Corps,The Relief Corps,,,,,,,
16,,The Anaconda standard,1895-01-27,,,,,,,,,,,,,Chronicling America,16.0,"internal-pdf://1144522532/The Anaconda standard, January 27, 1895.pdf",,,"Helena, Montana",6302.0, Newspaper Article,Grand Street Methodist church,Grand Street Methodist church,"January 25, 1895",,,,,,
20,R_79,Altamont Enterprise,1895-02-01,"February 14, 1895",U.S.,NY,Delanson,Epworth League of Delanson,M.E. church,,25 cents,,,n,,,,,,,"Delanson, NY, U.S.",,,,,,,,,,,
174,R_233,The Columbia Republican,1895-02-07,"January 31, 1895",U.S.,NY,West Taghkanic,,Parsonage,,,~14$ USD,,n,,,,,,,"West Taghkanic, NY, U.S.",,,,,,,,,,,
38,,The Jersey City News,1895-02-09,,,,,,,,,,,,,Chronicling America,38.0,"internal-pdf://2534935303/The Jersey City News, February 09, 1895.pdf",,Parlors of the church,"Jersey City, New Jersey",6521.0, Newspaper Article,"Ladies’ Social Circle of Parmly Memorial Baptist Church, Grove Street","Ladies’ Social Circle of Parmly Memorial Baptist Church, Grove Street",,,,,,,
57,,The Corvallis gazette,1895-02-14,,,,,,,,,,,,,Chronicling America,57.0,"internal-pdf://0945117266/The Corvallis gazette, February 14, 1895.pdf",Same event is referenced in the issue from February 21,Residence of Judge Burnett,"Corvallis, Oregon",6698.0, Newspaper Article,Y.P.S.C.E. of the Congregational church,Y.P.S.C.E. of the Congregational church,"February 15, 1895",,,,,,
390,,The Scranton Tribune,1895-02-18,,,,,,,,,,,,,Chronicling America,390.0,"internal-pdf://1982980243/The Scranton Tribune, February 18, 1895.pdf",,Methodist Episcopal Church,"Scranton, Pennsylvania",5974.0, Newspaper Article,Methodist Episcopal Church,Methodist Episcopal Church,"February 14, 1895",,,,,,
66,,The Scranton Tribune,1895-02-21,,,,,,,,,,,,,Chronicling America,66.0,"internal-pdf://3333574072/The Scranton Tribune, February 21, 1895.pdf",,Methodist Episcopal Church,"Scranton, Pennsylvania",6637.0, Newspaper Article,Ladies’ Aid Society,Ladies’ Aid Society,,,,,,,"February 22, 1895"
439,,St. Paul daily globe,1895-02-23,,,,,,,,,,,,,Chronicling America,439.0,"internal-pdf://1782280521/St. Paul daily globe, February 23, 1895.pdf",,Atlantic Congregational church parlors,"St. Paul, Minnesota",6276.0, Newspaper Article,,,"March 01, 1895",,,,,,
98,R_157,Norwood News,1895-02-26,"February 26, 1895",U.S.,NY,East Brasher,,Residence of R.W. Smith ,R.W. Smith; Rev. Funnel,,,,n,,,,,,,"East Brasher, NY, U.S.",,,,,,,,,,,
5,R_32,The Daily Colonist,1895-03-07,"March 8, 1895",Canada,British Columbia,Victoria,the Ladies' Aid of St. Andrew's church,"Cedar Hill, in the schoolhouse",,,,,n,aware to the novelty of the event,British Columbia Historical Newspapers,,,,,"Victoria, British Columbia, Canada",,,,,,,,,,,
278,,Omaha daily bee,1895-03-11,,,,,,,,,,,,,Chronicling America,278.0,"internal-pdf://0337453823/Omaha daily bee, March 11, 1895.pdf",,Hall in the Continental block,"Omaha, Nebraska",6310.0, Newspaper Article,"Life Boat lodge No. 150, Independent Order of Good Templars","Life Boat lodge No. 150, Independent Order of Good Templars","March 28, 1895",,,,,,
259,,The Newtown bee,1895-03-15,,,,,,,,,,,,,Chronicling America,259.0,"internal-pdf://3520709983/The Newtown bee, March 15, 1895.pdf",,Residence of Miss Julia Thorp,"Nichols, Connecticut",6040.0, Newspaper Article,Y.P.S.C.E.,Y.P.S.C.E.,"March 21, 1895",,,,,,
173,,Herald and News,1895-03-21,,,,,,,,,,,,,Chronicling America,173.0,"internal-pdf://3397856309/Herald and News, March 21, 1895.pdf",,Town Hall,"West Randolph, Vermont",6364.0, Newspaper Article,Young ladies,Young ladies,"March 19, 1895",,,,,,
146,,The Worthington advance,1895-03-28,,,,,,,,,,,,,Chronicling America,146.0,"internal-pdf://4206140840/The Worthington advance, March 28, 1895.pdf",,,"Round Lake, Minnesota",6593.0, Newspaper Article,Ladies’ Aid society of the Presbyterian church,Ladies’ Aid society of the Presbyterian church,"March 29, 1895",,,,,,
1,,The Irish standard,1895-03-30,,,,,,,,,,,,,Chronicling America,1.0,"internal-pdf://3936859989/The Irish standard, March 30, 1895.pdf",,,"Minneapolis, Minnesota",6581.0, Newspaper Article,Ladies’ Aid society of Willing Workers of St. Charles Church,Ladies’ Aid society of Willing Workers of St. Charles Church,"April 01, 1895",,,,,,
3,,The Wichita daily eagle,1895-04-03,,,,,,,,,,,,,Chronicling America,3.0,"internal-pdf://3211441671/The Wichita daily eagle, April 03, 1895.pdf",,United Presbyterian church,"Wichita, Kansas",6552.0, Newspaper Article,Young People’s society of Christian Endeavor,Young People’s society of Christian Endeavor,"April 03, 1895",,,,,,
5,,The true northerner,1895-04-05,,,,,,,,,,,,,Chronicling America,5.0,"internal-pdf://2306743111/The true northerner, April 05, 1895.pdf",Contains eBOF,Church parlors,"Paw Paw, Michigan",6576.0, Newspaper Article,Ladies of the Baptist church,Ladies of the Baptist church,"April 09, 1895",,,,,,
167,R_226,The City Island Drift,1895-04-27,"May 07, 1895",U.S.,NY,City Island,The Ladies of Grace Church,Leviness Hall,,,,,n,,,,,,,"City Island, NY, U.S.",,,,,,,,,,,
27,R_86,Altamont Enterprise,1895-05-03,"May 08, 1895",U.S.,NY,Wemple,,First Reformed Church,,,,,n,,,,,,,"Wemple, NY, U.S.",,,,,,,,,,,
168,R_227,The City Island Drift,1895-05-04,"May 07, 1895",U.S.,NY,City Island,The Ladies of Grace Church,Leviness Hall,,35 cents,,,n,,,,,,,"City Island, NY, U.S.",,,,,,,,,,,
159,,The San Francisco call,1895-05-10,,,,,,,,,,,,,Chronicling America,159.0,"internal-pdf://3516616709/The San Francisco call, May 10, 1895.pdf",,"United Presbyterian Church, corner of Santa Clara avenue and Union street","Alameda, California",6451.0, Newspaper Article,Young People’s society of Christian Endeavor,Young People’s society of Christian Endeavor,"May 10, 1895",,,,,,
98,,The Dalles times-mountaineer,1895-06-08,,,,,,,,,,,,,Chronicling America,98.0,"internal-pdf://3616831732/The Dalles times-mountaineer, June 08, 1895.pdf",Same event is referenced in the issue from June 4 and June 5,"Lawn of Geo. W. Miller, corner Eighth and Court streets","The Dalles, Oregon",6702.0, Newspaper Article,Young Ladies of the First Christian church,Young Ladies of the First Christian church,"June 12, 1895",,,,,,
107,,The Scranton tribune,1895-06-28,,,,,,,,,,,,,Chronicling America,107.0,"internal-pdf://2511712083/The Scranton tribune, June 28, 1895.pdf",,Lecture room,"Scranton, Pennsylvania",6707.0, Newspaper Article,King’s Daughters and Sons of Elm Park church,King’s Daughters and Sons of Elm Park church,"June 28, 1895",,,,,,
0,,Phillipsburg herald,1895-08-01,,,,,,,,,,,,,Chronicling America,0.0,"internal-pdf://2511712084/Phillipsburg herald, August 01, 1895.pdf",,,"Phillipsburg, Kansas",6551.0,,Christian Endeavor society,Christian Endeavor society,"~July 18, 1895", Newspaper Article,,,,,
314,,Oxford Democrat,1895-08-06,,,,,,,,,,,,,Chronicling America,314.0,"internal-pdf://2511712086/Oxford Democrat, August 06, 1895.pdf",,Garland Chapel,"Bethel, Maine",6215.0, Newspaper Article,Ladies’ Club,Ladies’ Club,"August 15, 1895",,,,,,
13,,Alma record,1895-09-20,,,,,,,,,,,,,Chronicling America,13.0,"internal-pdf://1431419374/Alma record, September 20, 1895.pdf",,Residence of Mrs. Minnie McCarty,"Alma, Michigan",6254.0, Newspaper Article,Mrs. Minnie McCarty,Mrs. Minnie McCarty,"September 17, 1895",,,,,,
103,R_162,On the St. Lawrence and Clayton Independent,1895-09-20,"September 25, 1895",U.S.,NY,Clayton(?),Epworth league,M.E. church,,15 cents / 10 cents,,,y,Interestingly has a host called William O'Fare (Bill of Fare),,,,,,"Clayton(?), NY, U.S.",,,,,,,,,,,
263,,The Newtown bee,1895-10-04,,,,,,,,,,,,,Chronicling America,263.0,"internal-pdf://3264626262/The Newtown bee, October 04, 1895.pdf",,Residence of J.S. Sanford,"Redding, Connecticut",6041.0, Newspaper Article,Faithful Workers of the Methodist church,Faithful Workers of the Methodist church,"October 04, 1895",,,,,,
159,R_218,The Brooklyn Daily Eagle,1895-10-12,"October 11, 1895",U.S.,NY,Long Island,The Women of the Congregational Aid Society,Patebogue church,,,,,n,,,,,,,"Long Island, NY, U.S.",,,,,,,,,,,
102,,The daily morning journal and courier,1895-10-15,,,,,,,,,,,,,Chronicling America,102.0,"internal-pdf://1960709855/The daily morning journal and courier, October.pdf",,Epworth M.E. church,"New Haven, Connecticut",6047.0, Newspaper Article,Ladies’ Aid society,Ladies’ Aid society,"October 16, 1895",,,,,,
290,R_349,The Suffolk County News Sayville,1895-10-18,"October 11, 1895",U.S.,NY,Patchogue,The Ladies of the Congregational Aid society,Church,,,,,n,,,,,,,"Patchogue, NY, U.S.",,,,,,,,,,,
85,R_144,Herkimer Democrat,1895-10-23,"October 26, 1895",U.S.,NY,Fairfield,Epworth league,,,,,,n,,,,,,,"Fairfield, NY, U.S.",,,,,,,,,,,
71,,Burlington Weekly Free Press,1895-10-31,,,,,,,,,,,,,Chronicling America,71.0,"internal-pdf://1734575193/Burlington Weekly Free Press, October 31, 1895.pdf",,Home of E. J. Parmelee,"Burlington, Vermont",6146.0, Newspaper Article,,,"October 30, 1895",,,,,,
69,,Burlington Weekly Free Press,1895-10-31,,,,,,,,,,,,,Chronicling America,69.0,"internal-pdf://1369602725/Burlington Weekly Free Press, October 31, 1895.pdf",,E.J. Parmelee,"Burlington, Vermont",6134.0, Newspaper Article,,,"October 23, 1895",,,,,,
77,,Catoctin clarion,1895-11-07,,,,,,,,,,,,,Chronicling America,77.0,"internal-pdf://1244316432/Catoctin clarion, November 07, 1895.pdf",,Town hall,"Mechanicstown, Maryland",6231.0, Newspaper Article,,,"November 07, 1895",,,,,,
166,R_225,The Chronicle Mount Vernon,1895-11-14,"November 25, 1895",U.S.,NY,Mont Vernon,The Male Members of the Epworth League of the North M. E. Church,,,,,,n,,,,,,,"Mont Vernon, NY, U.S.",,,,,,,,,,,
192,R_251,The Daily Leader Gloversville,1895-11-16,"November 15, 1895",U.S.,NY,Gloversville,,Congregational church,,,~40$ USD,,n,,,,,,,"Gloversville, NY, U.S.",,,,,,,,,,,
197,,Evening capital,1895-11-19,,,,,,,,,,,,,Chronicling America,197.0,"internal-pdf://3287385115/Evening capital, November 19, 1895.pdf",Contains a few eBOF dishes/riddles and a description of the event; same event is referenced in the issue from November 16,Church parlors,"Annapolis, Maryland",6568.0, Newspaper Article,Epworth league of the First M.E. Church,Epworth league of the First M.E. Church,"November 18, 1895",,,,,,
253,R_312,The Newark Courier,1895-11-21,"November 26, 1895",U.S.,NY,Newark,W.S.L. of the Universalist Church,Church parlor,,,,,n,"""European plan""",,,,,,"Newark, NY, U.S.",,,,,,,,,,,
343,,The Portland daily press,1895-11-22,,,,,,,,,,,,,Chronicling America,343.0,"internal-pdf://1713258263/The Portland daily press, November 22, 1895.pdf",Contains eBOF; same event is referenced in the issue from November 18,Congregational chapel,"Westbrook, Maine",6222.0, Newspaper Article,Young men company called “Banner Class”,Young men company called “Banner Class”,"November 20, 1895",,,,,,
462,,Vermont Phoenix,1895-11-29,,,,,,,,,,,,,Chronicling America,462.0,"internal-pdf://4084960725/Vermont Phoenix, November 29, 1895.pdf",,Vestry,"Brattleboro, Vermont",6180.0, Newspaper Article,The Young People’s Society of Christian Endeavor,The Young People’s Society of Christian Endeavor,"December 03, 1895",,,,,,
494,,The Windham County Reformer,1895-12-06,,,,,,,,,,,,,Chronicling America,494.0,"internal-pdf://1814887560/The Windham County Reformer, December 06, 1895.pdf",Partial menu included.,Baptist vestry,"Brattleboro, Vermont",6371.0, Newspaper Article,,,"December 05, 1895",,,,,,
197,,The Jersey City news,1895-12-12,,,,,,,,,,,,,Chronicling America,197.0,"internal-pdf://4009775770/The Jersey City news, December 12, 1895.pdf",Contains eBOF; Has a lot of information about the dinner,Lecture room of the Tabernacle,"Jersey City, New Jersey",6396.0, Newspaper Article,Ladies’ Aid society of the Tabernacle,Ladies’ Aid society of the Tabernacle,"December 11, 1895",,,,,,
294,R_353,The Whitesville News,1895-12-12,"December 13, 1895",U.S.,NY,Harrison Valley,The Ladies of the Methodist church,Parsonage,,,,,n,,,,,,,"Harrison Valley, NY, U.S.",,,,,,,,,,,
2,,Alma Record,1895-12-20,,,,,,,,,,,,,Chronicling America,2.0,"internal-pdf://1431419373/Alma Record, December 20, 1895.pdf",Referred to as “The Englishman’s Delight”,L.G. Loomis,"Alma, Michigan",6511.0, Newspaper Article,,,,,,,,,"December 17, 1895"
281,,The Opelousas,1895-12-21,,,,,,,,,,,,,Chronicling America,281.0,"internal-pdf://4146382455/The Opelousas courier, December 21, 1895.pdf",,St. Landry High School,"Opelousas, Louisiana",6204.0, Newspaper Article,,,"December 23, 1895",,,,,,
38,,Red Lodge picket,1895-12-28,,,,,,,,,,,,,Chronicling America,38.0,"internal-pdf://1782280520/Red Lodge picket, December 28, 1895.pdf",,Methodist church,"Red Lodge, Montana",6612.0, Newspaper Article,,,"December 20, 1895",,,,,,
81,,Burlington weekly free press,1896-01-23,,,,,,,,,,,,,Chronicling America,81.0,"internal-pdf://1760281935/Burlington weekly free press, January 23, 1896.pdf",,Residence of Hiram Hoag,"Grand Isle, Vermont",6770.0, Newspaper Article,,,"January 22, 1896",,,,,,
58,,The Roanoke Daily Times,1896-01-24,,,,,,,,,,,,,Chronicling America,58.0,"internal-pdf://2273590851/The Roanoke Daily Times, January 24, 1896.pdf",Mentioned also on January 22.,"W.R. Moore’s, 329 Church avenue","Roanoke, Virginia",6663.0, Newspaper Article,Ladies of the Church Avenue Christian Church,Ladies of the Church Avenue Christian Church,,,,,,,
366,,The Republican journal,1896-02-06,,,,,,,,,,,,,Chronicling America,366.0,"internal-pdf://2260289373/The Republican journal, February 06, 1896.pdf",,G. A.R. hall,"Pittsfield, Maine",6221.0, Newspaper Article,,,"January 30, 1896",,,,,,
90,,Oakes weekly Republican,1896-02-07,,,,,,,,,,,,,Chronicling America,90.0,"internal-pdf://2442186202/Oakes weekly Republican, February 07, 1896.pdf",Contains eBOF,Residence of F.W. Waldron,"Oakes, North Dakota",6683.0, Newspaper Article,,,"January 31, 1896",,,,,,
53,,Arizona republican,1896-02-08,,,,,,,,,,,,,Chronicling America,53.0,"internal-pdf://2442186205/Arizona republican, February 08, 1896.pdf",Conundrum ‘battle’ where they fire conundrums across from each other,Garden Valley lodge,"Phoenix, Arizona",6448.0, Newspaper Article,Miss Mattie Wright AND Mr. Trary,Miss Mattie Wright AND Mr. Trary,"February 10, 1896",,,,,,
175,R_234,The Columbia Republican,1896-02-13,"February 20, 1896",U.S.,NY,Taghkanic(?),The Ladies Missionary Society of the Reformed Church,Parsonage,,,,,n,,,,,,,"Taghkanic(?), NY, U.S.",,,,,,,,,,,
38,R_97,Cazenovia Republican,1896-02-20,"~February 27, 1896",U.S.,NY,Stockbridge,The Aid Society,,,,,,n,,,,,,,"Stockbridge, NY, U.S.",,,,,,,,,,,
415,,St. Johnsbury Caledonian,1896-02-21,,,,,,,,,,,,,Chronicling America,415.0,"internal-pdf://3333574074/St. Johnsbury Caledonian, February 21, 1896.pdf",Also mentioned February 14; Menu included.,Grand Army Hall,"St. Johnsbury, Vermont",6117.0, Newspaper Article,The Rector’s Aid society of St. Andrew’s church,The Rector’s Aid society of St. Andrew’s church,"February 14, 1896",,,,,,
219,,The Madisonian,1896-02-22,,,,,,,,,,,,,Chronicling America,219.0,"internal-pdf://3333574073/The Madisonian, February 22, 1896.pdf",Contains eBOF,Good Templat’s hall,"Sheridan, Montana",6300.0, Newspaper Article,Methodist Ladies of Sheridan,Methodist Ladies of Sheridan,"February 14, 1896",,,,,,
176,R_235,The Columbia Republican,1896-02-27,"February 20, 1896",U.S.,NY,Taghkanic,The Ladies Missionary Society of the Reformed Church,Parsonage,,,,,n,References same event as R_234,,,,,,"Taghkanic, NY, U.S.",,,,,,,,,,,
58,,Burlington Weekly Free Press,1896-02-27,,,,,,,,,,,,,Chronicling America,58.0,"internal-pdf://2260289374/Burlington Weekly Free Press, February 26, 189.pdf",,Vestry,"Burlington, Vermont",6170.0, Newspaper Article,Christian Endeavor Society,Christian Endeavor Society,"February 26, 1896",,,,,,
50,,Orange County Observer,1896-02-29,,,,,,,,,,,,,Chronicling America,50.0,"internal-pdf://2706896565/Orange County Observer, February 29, 1896.pdf",,Masonic Hall,"Hillsborough, North Carolina",6588.0, Newspaper Article,The ladies of the Methodist Congregation,The ladies of the Methodist Congregation,,,,,,,"March 05, 1896"
62,R_121,Cortland Standard,1896-03-03,"March 05, 1896",U.S.,NY,McGrawville,The members of William H Tarbell W.R.C.,G.A.R. Hall,,,,,n,,,,,,,"McGrawville, NY, U.S.",,,,,,,,,,,
423,,St. Johnsbury Caledonian,1896-03-06,,,,,,,,,,,,,Chronicling America,423.0,"internal-pdf://1498617645/St. Johnsbury Caledonian, March 6, 1896.pdf",,South Church,"St. Johnsbury, Vermont",6118.0, Newspaper Article,,,"March 6, 1896",,,,,,
109,,Evening capital,1896-03-10,,,,,,,,,,,,,Chronicling America,109.0,"internal-pdf://1244316430/Evening capital, March 10, 1896.pdf",Conundrum Supper guests were divided into groups in the form of some sort of competition,Parsonage,"Annapolis, Maryland",6567.0, Newspaper Article,Owensville M.E. church,Owensville M.E. church,"March 03, 1896",,,,,,
